timestamp,mac,vendor,ts,rssi,sn
2018/7/18 1:00,ec51bc960e2f,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",1531875573,-82,974
2018/7/18 1:00,daa1196efdec,,1531875575,-78,671
2018/7/18 1:00,14dda9364e6b,ASUSTek COMPUTER INC.,1531875575,-54,3445
2018/7/18 1:00,14dda9364e6b,ASUSTek COMPUTER INC.,1531875595,-68,3534
2018/7/18 1:00,ea0c2ea0f685,locally administrator,1531875577,-54,704
2018/7/18 1:00,4ac0ee015497,locally administrator,1531875577,-72,2695
2018/7/18 1:00,986f60a9cd23,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",1531875578,-76,429
2018/7/18 1:00,42df95fdd024,locally administrator,1531875578,-76,21
2018/7/18 1:00,daa119bb9543,,1531875579,-72,4019
2018/7/18 1:00,ca2835c98d1c,locally administrator,1531875579,-66,4032
2018/7/18 1:00,be225795c3f4,locally administrator,1531875581,-76,1942
2018/7/18 1:00,84119e7da150,"Samsung Electronics Co.,Ltd",1531875581,-80,1516
2018/7/18 1:00,7811dcea1e26,"XIAOMI Electronics,CO.,LTD",1531875582,-48,689
2018/7/18 1:00,62db52829ffa,locally administrator,1531875583,-66,1909
2018/7/18 1:00,ce4642c7925f,locally administrator,1531875584,-72,3637
2018/7/18 1:00,d017c27f6960,ASUSTek COMPUTER INC.,1531875585,-72,957
2018/7/18 1:00,0ace62041b2f,locally administrator,1531875586,-64,3962
2018/7/18 1:00,064d6c47a52a,locally administrator,1531875586,-68,3668
2018/7/18 1:00,94e979ed8d55,Liteon Technology Corporation,1531875589,-74,418
2018/7/18 1:00,0a838773eaba,locally administrator,1531875590,-60,2958
2018/7/18 1:00,aaacfa428af6,locally administrator,1531875590,-66,4077
2018/7/18 1:00,98e79a3506e9,"Foxconn(NanJing) Communication Co.,Ltd.",1531875590,-78,3189
2018/7/18 1:00,4c8d79a1c058,"Apple, Inc.",1531875595,-56,4
2018/7/18 1:00,f6317836d354,locally administrator,1531875598,-64,3396
2018/7/18 1:00,42d58315e0bd,locally administrator,1531875600,-66,36
2018/7/18 1:00,8c8590ae0f95,"Apple, Inc.",1531875601,-52,838
2018/7/18 1:00,404e362f61f8,HTC Corporation,1531875602,-84,3622
2018/7/18 1:00,16c26a94db5e,locally administrator,1531875602,-66,1076
2018/7/18 1:00,80018411ace2,HTC Corporation,1531875603,-74,778
2018/7/18 1:00,82a39ba5b2b0,locally administrator,1531875603,-64,68
2018/7/18 1:00,74f06d772652,AzureWave Technology Inc.,1531875604,-58,3080
2018/7/18 1:00,bce63f3851bc,"Samsung Electronics Co.,Ltd",1531875605,-80,1149
2018/7/18 1:00,2631aa1546d8,locally administrator,1531875605,-68,1631
2018/7/18 1:00,2631aa1546d8,locally administrator,1531875617,-72,1671
2018/7/18 1:00,9e7671c0035c,locally administrator,1531875605,-48,3656
2018/7/18 1:00,daa119809b1d,,1531875606,-76,1278
2018/7/18 1:00,c8f23021d1c3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",1531875608,-78,3220
2018/7/18 1:00,80a589b45615,AzureWave Technology Inc.,1531875608,-66,1942
2018/7/18 1:00,aab07d2754b5,locally administrator,1531875608,-82,1083
2018/7/18 1:00,14dda9364e6b,ASUSTek COMPUTER INC.,1531875609,-66,3577
2018/7/18 1:00,14dda9364e6b,ASUSTek COMPUTER INC.,1531875618,-68,3622
2018/7/18 1:00,14dda9364e6b,ASUSTek COMPUTER INC.,1531875626,-68,3665
2018/7/18 1:00,024838d0a136,locally administrator,1531875610,-62,1710
2018/7/18 1:00,7811dcea1e26,"XIAOMI Electronics,CO.,LTD",1531875612,-48,737
2018/7/18 1:00,4485006de944,Intel Corporate,1531875613,-54,546
2018/7/18 1:00,8a413c73107d,locally administrator,1531875614,-64,2907
2018/7/18 1:00,5a6b9d12ce71,locally administrator,1531875614,-56,91
2018/7/18 1:00,14abc5c80190,Intel Corporate,1531875615,-64,422
2018/7/18 1:00,76f933015e40,locally administrator,1531875618,-82,413
2018/7/18 1:00,b2f5bdca96b9,locally administrator,1531875618,-70,1684
2018/7/18 1:00,c821585af564,Intel Corporate,1531875618,-56,143
2018/7/18 1:00,b4cef6691339,HTC Corporation,1531875619,-68,4042
2018/7/18 1:00,beec24da5470,locally administrator,1531875622,-64,1919
2018/7/18 1:00,2a69bbc6b439,locally administrator,1531875622,-68,3690
2018/7/18 1:00,8a42f67c90f0,locally administrator,1531875623,-66,3717
2018/7/18 1:00,283f69def409,Sony Mobile Communications AB,1531875624,-76,405
2018/7/18 1:00,ac3743ea636e,HTC Corporation,1531875627,-78,1067
2018/7/18 1:00,daa3ffff326d,locally administrator,1531875628,-76,3153
2018/7/18 1:00,986cf53ecf97,zte corporation,1531875628,-82,266
2018/7/18 1:00,986cf53ecf97,zte corporation,1531875631,-76,396
2018/7/18 1:00,36c4cf5d44c5,locally administrator,1531875629,-62,1999
2018/7/18 1:00,2258f48e67d6,locally administrator,1531875629,-78,3281
2018/7/18 1:00,4485006e0578,Intel Corporate,1531875630,-68,51
2018/7/18 1:00,aa09163cb067,locally administrator,1531875631,-70,1729
2018/7/18 1:01,708bcd125f62,ASUSTek COMPUTER INC.,1531875633,-78,1176
2018/7/18 1:01,708bcd125f62,ASUSTek COMPUTER INC.,1531875644,-68,1333
2018/7/18 1:01,daa119b5306f,,1531875634,-56,61
2018/7/18 1:01,38a4ed4ca6f9,Xiaomi Communications Co Ltd,1531875635,-78,84
2018/7/18 1:01,14dda9364e6b,ASUSTek COMPUTER INC.,1531875636,-64,3709
2018/7/18 1:01,14dda9364e6b,ASUSTek COMPUTER INC.,1531875651,-56,3840
2018/7/18 1:01,14dda9364e6b,ASUSTek COMPUTER INC.,1531875656,-66,3885
2018/7/18 1:01,14dda9364e6b,ASUSTek COMPUTER INC.,1531875661,-70,3928
2018/7/18 1:01,7014a668a221,"Apple, Inc.",1531875639,-62,1902
2018/7/18 1:01,9a2821a9d404,locally administrator,1531875640,-72,3788
